Log |Sun Nov 19 21:32:35 2023 - AposLog file initialized | 0ms
init |Sun Nov 19 21:32:35 2023 - AposLog | QApplication initialized | in function: main() | 17ms
Log |Sun Nov 19 21:32:35 2023 - AposLog | init | 17ms
init |Sun Nov 19 21:32:35 2023 - AposLog | StartupHandler initialized | in function: main() | 17ms
Log |Sun Nov 19 21:32:35 2023 - AposLog | init | 17ms
Log |Sun Nov 19 21:32:35 2023 - AposLog | init | 17ms
Log |Sun Nov 19 21:32:35 2023 - AposLog | init | 17ms
Log |Sun Nov 19 21:32:35 2023 - AposLog | init | 17ms
Log |Sun Nov 19 21:32:35 2023 - AposLog | init | 17ms
Log |Sun Nov 19 21:32:35 2023 - AposLog | init | 17ms
init |Sun Nov 19 21:32:35 2023 - AposLog | ObjectHandler initialized | in function: main() | 17ms
Log |Sun Nov 19 21:32:35 2023 - AposLog | init | 27ms
Log |Sun Nov 19 21:32:35 2023 - AposLog | init | 34ms
Log |Sun Nov 19 21:32:35 2023 - AposLog | init | 34ms
Log |Sun Nov 19 21:32:35 2023 - AposLog | init | 34ms
Log |Sun Nov 19 21:32:35 2023 - AposLog | status | 34ms
Log |Sun Nov 19 21:32:35 2023 - AposLog | status | 73ms
Log |Sun Nov 19 21:32:36 2023 - AposLog | signal | 1693ms
Log |Sun Nov 19 21:32:36 2023 - AposLog | status | 1698ms
Log |Sun Nov 19 21:32:36 2023 - AposLog | init | 1698ms
Log |Sun Nov 19 21:32:36 2023 - AposLog | init | 1704ms
Log |Sun Nov 19 21:32:36 2023 - AposLog | init | 1704ms
Log |Sun Nov 19 21:32:36 2023 - AposLog | status | 1726ms
Log |Sun Nov 19 21:32:37 2023 - AposLog | init | 2572ms
Log |Sun Nov 19 21:32:37 2023 - AposLog | init | 2572ms
action |Sun Nov 19 21:32:37 2023 - AposLog | Database initiated | 2572ms
Log |Sun Nov 19 21:32:37 2023 - AposLog | status | 2572ms
Log |Sun Nov 19 21:32:37 2023 - AposLog | status | 2572ms
action |Sun Nov 19 21:32:37 2023 - AposLog | C:\Users\Clean\Documents\Projekte\Apos-DatabaseManager\Project\resources\defaultDatabase\userDatabase.db opened | 2573ms
Log |Sun Nov 19 21:32:37 2023 - AposLog | status | 2573ms
Log |Sun Nov 19 21:32:37 2023 - AposLog | status | 2573ms
status |Sun Nov 19 21:32:37 2023 - AposLog | Database open | 2573ms
